content_key,show_title,category,first_week,last_week,first_cumulative,max_cumulative,right_censored,long_hit,first_rank,first_week_hours,log_first_week_hours,initial_country_reach
CoComelon: Season 1,CoComelon,TV (English),2021-09-05,2021-09-05,1,1,False,0,10,9140000,16.028171052839518,2.0
CoComelon: Season 3,CoComelon,TV (English),2021-07-04,2021-10-03,1,5,False,1,9,11430000,16.251752123260054,6.0
CoComelon: Season 4,CoComelon,TV (English),2021-10-24,2021-12-26,1,5,False,1,8,15930000,16.583714744660867,2.0
Cobra Kai: Season 1,Cobra Kai,TV (English),2022-01-02,2022-01-09,1,2,False,0,8,13450000,16.414489738361564,32.0
Cobra Kai: Season 2,Cobra Kai,TV (English),2022-01-09,2022-01-09,1,1,False,0,10,19340000,16.777686099695728,8.0
Cocaine Cowboys: The Kings of Miami: Limited Series,Cocaine Cowboys: The Kings of Miami,TV (English),2021-08-08,2021-08-15,1,2,False,0,5,18890000,16.754143292415755,20.0
Control Z: Season 1,Control Z,TV (Non-English),2021-08-08,2021-08-08,1,1,False,0,7,8580000,15.964944588014255,6.0
Control Z: Season 2,Control Z,TV (Non-English),2021-08-08,2021-08-22,1,3,False,0,2,25430000,17.051440176721936,20.0
Cowboy Bebop: Season 1,Cowboy Bebop,TV (English),2021-11-21,2021-12-05,1,3,False,0,6,21630000,16.889591844161327,30.0
Crime Scene: The Times Square Killer: Limited Series,Crime Scene: The Times Square Killer,TV (English),2022-01-02,2022-01-02,1,1,False,0,9,13070000,16.385830162111496,5.0
D.P.: Season 1,D.P.,TV (Non-English),2021-08-29,2021-09-05,1,2,False,0,7,8430000,15.947307448601993,10.0
Daughter From Another Mother: Season 2,Daughter From Another Mother,TV (Non-English),2021-12-26,2022-01-09,1,3,False,0,7,13040000,16.383532191149893,16.0
Dave Chappelle: The Closer,Dave Chappelle: The Closer,TV (English),2021-10-10,2021-10-10,1,1,False,0,8,14350000,16.47926056985631,4.0
"Demon Slayer: Kimetsu no Yaiba: Tanjiro Kamado, Unwavering Resolve Arc",Demon Slayer: Kimetsu no Yaiba,TV (Non-English),2021-11-07,2021-11-14,1,2,False,0,9,7940000,15.887423959167895,2.0
Dive Club: Season 1,Dive Club,TV (English),2021-09-12,2021-09-12,1,1,False,0,9,11480000,16.256117035963705,18.0
Dynasty: Season 4,Dynasty,TV (English),2021-10-24,2021-11-28,1,6,False,1,6,19970000,16.80974175546711,35.0
EDENS ZERO: Season 1,EDENS ZERO,TV (Non-English),2021-11-28,2021-11-28,1,1,False,0,9,7470000,15.826405690977799,5.0
Elite: Season 1,Elite,TV (Non-English),2021-07-04,2021-07-04,1,1,False,0,6,10530000,16.169738979076914,18.0
Elite: Season 2,Elite,TV (Non-English),2021-07-04,2021-07-04,1,1,False,0,8,10140000,16.131998654746635,11.0
Elite: Season 3,Elite,TV (Non-English),2021-07-04,2021-07-04,1,1,False,0,7,10200000,16.13789837629371,7.0
Elite: Season 4,Elite,TV (Non-English),2021-07-04,2021-08-01,1,5,False,1,1,38720000,17.471866846199095,71.0
Elize Matsunaga: Once Upon a Crime: Season 1,Elize Matsunaga: Once Upon a Crime,TV (Non-English),2021-07-11,2021-07-18,1,2,False,0,6,11700000,16.275099485238066,1.0
Elves: Season 1,Elves,TV (Non-English),2021-11-28,2021-12-05,1,2,False,0,10,6660000,15.71163019266671,20.0
Emily in Paris: Season 1,Emily in Paris,TV (English),2021-12-26,2022-01-02,1,2,False,0,4,18040000,16.708102128031122,53.0
For Life: Season 1,For Life,TV (English),2021-08-15,2021-08-29,1,3,False,0,6,13790000,16.439454322285798,1.0
Gabby's Dollhouse: Season 2,Gabby's Dollhouse,TV (English),2021-08-15,2021-08-22,1,2,False,0,8,13170000,16.393452149649605,8.0
Ganglands: Season 1,Ganglands,TV (Non-English),2021-09-26,2021-10-10,1,3,False,0,4,16260000,16.60421872358455,19.0
Gone for Good: Limited Series,Gone for Good,TV (Non-English),2021-08-15,2021-08-22,1,2,False,0,8,9750000,16.092777945538128,9.0
Good Girls: Season 1,Good Girls,TV (English),2021-09-05,2021-09-05,1,1,False,0,9,9590000,16.076231551134903,13.0
Good Girls: Season 4,Good Girls,TV (English),2021-09-05,2021-09-26,1,4,False,1,2,37580000,17.441982578559493,77.0
Grey's Anatomy: Season 17,Grey's Anatomy,TV (English),2021-10-03,2021-10-17,1,3,False,0,5,18680000,16.74296404429816,1.0
Heist: Season 1,Heist,TV (English),2021-07-18,2021-07-25,1,2,False,0,8,18710000,16.744568751697624,18.0
Hellbound: Season 1,Hellbound,TV (Non-English),2021-11-21,2021-12-12,1,4,False,1,1,43480000,17.587811643216362,71.0
Hit & Run: Season 1,Hit & Run,TV (English),2021-08-08,2021-08-29,1,4,False,1,4,23570000,16.97548531733913,52.0
Hometown Cha-Cha-Cha: Season 1,Hometown Cha-Cha-Cha,TV (Non-English),2021-09-05,2021-12-19,1,16,False,1,7,9630000,16.080393887616463,1.0
Hospital Playlist: Season 2,Hospital Playlist,TV (Non-English),2021-07-18,2021-09-19,1,7,False,1,8,8530000,15.95910003670115,9.0
Hotel Del Luna: Season 1,Hotel Del Luna,TV (Non-English),2021-09-12,2021-09-12,1,1,False,0,10,9980000,16.116093748488044,1.0
House of Secrets: The Burari Deaths: Limited Series,House of Secrets: The Burari Deaths,TV (Non-English),2021-10-17,2021-10-17,1,1,False,0,10,9220000,16.036885703992642,3.0
How to Sell Drugs Online (Fast): Season 3,How to Sell Drugs Online (Fast),TV (Non-English),2021-08-01,2021-08-08,1,2,False,0,3,16470000,16.617051162870276,23.0
Hunter X Hunter (2011): Season 5,Hunter X Hunter (2011),TV (Non-English),2021-08-08,2021-08-08,1,1,False,0,6,9890000,16.107034804711123,2.0
Inside Job: Part 1,Inside Job,TV (English),2021-10-31,2021-10-31,1,1,False,0,9,21240000,16.87139680141899,28.0
Into the Night: Season 2,Into the Night,TV (Non-English),2021-09-12,2021-09-12,1,1,False,0,8,10630000,16.179190844391503,13.0
Jaguar: Season 1,Jaguar,TV (Non-English),2021-09-26,2021-09-26,1,1,False,0,7,11620000,16.268238395446556,3.0
JoJo's Bizarre Adventure: STONE OCEAN,JoJo's Bizarre Adventure,TV (Non-English),2021-12-05,2021-12-05,1,1,False,0,8,13980000,16.453138366300696,7.0
Jurassic World Camp Cretaceous: Season 4,Jurassic World Camp Cretaceous,TV (English),2021-12-05,2021-12-12,1,2,False,0,7,16900000,16.642824239064897,23.0
Katla: Season 1,Katla,TV (Non-English),2021-07-04,2021-07-04,1,1,False,0,9,9190000,16.03362660314579,7.0
Kitz: Season 1,Kitz,TV (Non-English),2022-01-09,2022-01-09,1,1,False,0,9,14650000,16.499950961686732,10.0
Locke & Key: Season 1,Locke & Key,TV (English),2021-10-24,2021-11-07,1,3,False,0,10,15710000,16.569808073885525,27.0
Locke & Key: Season 2,Locke & Key,TV (English),2021-10-24,2021-11-21,1,5,False,1,4,35530000,17.38588799614244,67.0
Lost in Space: Season 1,Lost in Space,TV (English),2021-12-05,2021-12-19,1,3,False,0,4,20920000,16.85621624496214,43.0
Lost in Space: Season 2,Lost in Space,TV (English),2021-12-12,2021-12-12,1,1,False,0,5,15240000,16.53943417383957,1.0
Lost in Space: Season 3,Lost in Space,TV (English),2021-12-05,2021-12-26,1,4,False,1,1,47380000,17.673710777800864,85.0
